place_label_id,place_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,open_bible_id,label-given_by_god,label_notes,place_label_count,label_sequence
Land of the East_1_1,Land of the East_1,Land of the East,אֶ֥רֶץ קֶֽדֶם,erets qedem,land east,"H776, H6924",εἰς γῆν ἀνατολῶν,ei̓s gē͂n a̓natolō͂n,toward [the] land [of the] sunrise,"G1519, G1093, G395",GEN 25:6,proper name,ab0b2dd,,,1,93
Havilah_2_1,Havilah_2,Havilah,חֲוִילָה,chaviylah,"Havilah, ""stretch of sand""",H2341,Ευιλατ,Euilat,,none,GEN 25:18,proper name,ac5e5c4,,,1,94
Paddan-aram_1_1,Paddan-aram_1,Paddan-aram,פַּדַּן אֲרָם,padan aram,plain of Aram,H6307,Μεσοποταμίας,Mesopotamía,label for the country lying between the rivers Tigris and Euphrates,G3318,GEN 25:20,proper name,a8ec7ba,,,1,95
Esek_1_1,Esek_1,Esek,עֵשֶׂק,eseq,dispute,H6230,ἀδικία,a̓dikía,"injustice, wrong; iniquity, falsehood, deceitfulness ",G93,GEN 26:20,proper name,a43608b,,Rahlfs Septuaginta translates the Hebrew name instead of transliterating it.,1,96
Sitnah_1_1,Sitnah_1,Sitnah,שִׂטְנָה,sitənah,hostility,H7856,Ἐχθρία,E̓xthría,,none,GEN 26:21,proper name,aa454f7,,,1,97
Rehoboth_1_1,Rehoboth_1,Rehoboth,רְחֹבוֹת,rəchovot,"broad, wide [places, markets]",H7344,Εὐρυχωρία,Eu̓rukhōría,,none,GEN 26:22,proper name,ab1d954,,,1,98
Shiba_1_1,Shiba_1,Shiba,שִׁבְעָה,shivəah,,H7656,Ὅρκος,O̔́rkos,oath,G3727,GEN 26:33,proper name,m14a95e,,,1,99
Bethel_1_2,Bethel_1,Luz,לוּז,luz,almond tree,H3870,Ουλαμλους,Oulamlous,,none,GEN 28:19,proper name,a397042,,,2,100
Gilead_1_1,Gilead_1,Gilead,גִּלְעָד,giləad,[perhaps] monument of stones,H1568,Γαλααδ,Galaad,,none,GEN 31:21,proper name,ae73b90,,,1,101
Mahanaim_1_1,Mahanaim_1,Mahanaim,מַחֲנַיִם,mahanayim,double camp,H4266,Παρεμβολαί,Parembolaí,camp,G4213,GEN 32:2,proper name,ae5bfe9,,The Rahlfs Septuaginta and Biblia Hebraica Stuttgartensia equivalent verse is GEN 32:3.,1,102
